Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM51;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM50;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM49;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM48;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM47;289
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM46;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM45;293
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM44;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM43;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM42;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM41;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM40;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM39;231
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM38;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM37;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM36;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM35;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM34;269
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM33;246
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM32;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM31;301
